"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
78,16 Nov 2023 05:24:57.534,16 Nov 2023 05:52:20.770,1643.237
79,16 Nov 2023 07:24:33.129,16 Nov 2023 07:55:40.930,1867.802
80,16 Nov 2023 09:26:44.842,16 Nov 2023 09:57:03.661,1818.819
81,16 Nov 2023 11:30:33.922,16 Nov 2023 11:57:04.215,1590.293
82,16 Nov 2023 13:35:41.419,16 Nov 2023 13:55:12.796,1171.376
83,17 Nov 2023 04:11:51.392,17 Nov 2023 04:34:19.835,1348.443
84,17 Nov 2023 06:09:23.647,17 Nov 2023 06:39:39.303,1815.656
85,17 Nov 2023 08:10:18.920,17 Nov 2023 08:41:59.939,1901.019
86,17 Nov 2023 10:13:16.388,17 Nov 2023 10:42:50.098,1773.710
87,17 Nov 2023 12:17:36.779,17 Nov 2023 12:42:06.892,1470.113
88,17 Nov 2023 14:24:08.987,17 Nov 2023 14:38:30.857,861.870
89,18 Nov 2023 03:01:24.051,18 Nov 2023 03:13:04.565,700.514
90,18 Nov 2023 04:55:01.885,18 Nov 2023 05:22:35.627,1653.742
91,18 Nov 2023 06:54:26.414,18 Nov 2023 07:26:11.801,1905.387
92,18 Nov 2023 08:56:19.572,18 Nov 2023 09:27:54.044,1894.472
93,18 Nov 2023 10:59:51.947,18 Nov 2023 11:28:08.338,1696.391
94,18 Nov 2023 13:04:55.979,18 Nov 2023 13:26:21.649,1285.670
95,19 Nov 2023 03:41:45.695,19 Nov 2023 04:04:04.934,1339.239
96,19 Nov 2023 05:39:13.330,19 Nov 2023 06:09:33.347,1820.018
97,19 Nov 2023 07:39:51.424,19 Nov 2023 08:12:14.589,1943.165
98,19 Nov 2023 09:42:27.717,19 Nov 2023 10:13:23.407,1855.690
99,19 Nov 2023 11:46:33.389,19 Nov 2023 12:12:50.708,1577.319
100,19 Nov 2023 13:53:07.791,19 Nov 2023 14:09:17.396,969.605
101,20 Nov 2023 02:30:57.873,20 Nov 2023 02:42:34.944,697.071
102,20 Nov 2023 04:24:46.381,20 Nov 2023 04:51:54.745,1628.364
103,20 Nov 2023 06:23:57.613,20 Nov 2023 06:55:49.116,1911.503
104,20 Nov 2023 08:25:29.321,20 Nov 2023 08:57:53.159,1943.838
105,20 Nov 2023 10:28:39.914,20 Nov 2023 10:58:23.601,1783.687
106,20 Nov 2023 12:33:33.481,20 Nov 2023 12:56:43.983,1390.502
107,21 Nov 2023 03:11:22.239,21 Nov 2023 03:32:54.443,1292.204
108,21 Nov 2023 05:08:42.196,21 Nov 2023 05:38:33.722,1791.526
109,21 Nov 2023 07:09:01.616,21 Nov 2023 07:41:37.023,1955.408
110,21 Nov 2023 09:11:13.714,21 Nov 2023 09:43:06.561,1912.847
